red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,blue_Height,blue_Weight,blue_Reach,red_Elo,blue_Elo,red_Age,blue_Age,red_Stance_Nan,red_Stance_Open Stance,red_Stance_Orthodox,red_Stance_Sideways,red_Stance_Southpaw,red_Stance_Switch,blue_Stance_Nan,blue_Stance_Open Stance,blue_Stance_Orthodox,blue_Stance_Sideways,blue_Stance_Southpaw,blue_Stance_Switch
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2.1,1.99,1.27,1.9,1.27,209.92,42.94,61.58,66.67,83.33,69.0,145.0,71.0,69.0,155.0,,1000.0,1131.64,21.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
2.72,2.69,2.56,0.7,0.0,293.32,40.7,48.51,39.29,86.36,4.68,2.9,3.0,0.25,0.0,260.5,48.03,68.65,42.86,75.0,73.0,185.0,74.0,72.0,185.0,73.0,1123.4,1006.59,25.0,32.0,False,False,True,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,72.0,170.0,75.0,73.0,170.0,,1000.0,1000.0,29.0,31.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.76,0.76,2.64,0.0,0.88,0.0,65.0,55.17,60.0,100.0,69.0,200.0,,75.0,249.0,,1000.0,1058.0,,30.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,4.8,7.2,0.0,0.0,0.0,0.0,46.15,35.71,0.0,100.0,74.0,170.0,76.0,70.0,170.0,,1000.0,963.03,26.0,26.0,False,False,False,False,True,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,6.61,1.12,5.04,0.56,1.12,677.52,64.6,61.54,60.0,75.0,76.0,265.0,78.0,73.0,240.0,77.0,1000.0,1223.8,28.0,27.0,False,False,True,False,False,False,False,False,True,False,False,False
0.93,3.41,1.83,2.44,0.61,171.95,14.84,36.84,27.27,55.56,1.52,2.36,2.74,0.55,1.37,288.93,42.56,66.67,47.62,75.0,70.0,155.0,73.0,69.0,155.0,69.0,884.0,1020.93,27.0,30.0,False,False,True,False,False,False,False,False,False,False,True,False
3.44,2.98,3.52,2.35,1.28,302.17,50.34,50.3,34.38,44.3,3.01,2.96,2.86,1.34,2.77,213.29,49.63,53.91,43.48,60.0,68.0,145.0,68.0,70.0,155.0,74.0,1228.95,1315.27,34.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
4.38,3.2,0.72,1.28,0.64,154.38,47.0,54.78,39.13,70.37,5.44,4.14,0.96,2.64,0.48,192.14,53.12,43.82,23.53,52.17,75.0,170.0,78.0,73.0,185.0,77.0,1370.05,1174.23,34.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
2.46,5.14,0.0,3.36,0.84,0.0,43.56,30.83,0.0,50.0,0.0,0.0,0.0,12.5,0.0,37.5,0.0,100.0,0.0,0.0,70.0,155.0,70.0,68.0,155.0,,910.92,942.0,25.0,28.0,False,False,True,False,False,False,False,False,True,False,False,False
