OUTCOME,METHOD,DATE,red_Name,blue_Name,red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,red_Stance,red_DOB,blue_Height,blue_Weight,blue_Reach,blue_Stance,blue_DOB,red_Elo,blue_Elo
Blue,Submission ,2020-06-06,Evan Dunham,Herbert Burns,5.35,3.54,1.83,0.92,0.98,205.3,39.24,61.73,33.33,80.82,2.58,1.47,5.52,0.0,5.52,524.54,41.18,55.56,100.0,100.0,70.0,155.0,70.0,Southpaw,1981-12-18,69.0,145.0,73.0,Orthodox,1988-02-02,1156.98,1058.0
Red,Decision - Unanimous ,2020-05-30,Gilbert Burns,Tyron Woodley,3.13,3.02,2.39,1.04,0.73,239.47,44.26,56.96,38.98,44.44,2.64,2.66,0.44,0.27,0.27,117.51,47.71,61.45,38.46,93.75,70.0,170.0,71.0,Orthodox,1986-07-20,69.0,170.0,74.0,Orthodox,1982-04-07,1395.36,1455.74
Blue,Decision - Split ,2020-05-30,Blagoy Ivanov,Augusto Sakai,3.09,3.93,1.07,0.21,0.21,77.36,38.03,55.86,62.5,75.0,5.59,5.33,0.5,0.0,0.0,96.39,44.56,55.56,50.0,100.0,71.0,250.0,73.0,Southpaw,1986-10-09,75.0,265.0,77.0,Orthodox,1991-05-09,1107.6,1151.49
Red,Decision - Unanimous ,2020-05-30,Billy Quarantillo,Spike Carlyle,8.92,0.36,1.81,0.0,9.04,804.22,86.05,50.0,100.0,100.0,14.12,1.41,0.0,0.0,0.0,74.12,68.97,83.33,0.0,100.0,70.0,145.0,70.0,Orthodox,1988-12-08,68.0,145.0,71.0,Switch,1993-05-06,1058.0,1058.0
Blue,Submission ,2020-05-30,Brok Weaver,Roosevelt Roberts,1.24,3.72,0.0,3.72,3.72,0.0,55.56,48.28,0.0,50.0,2.57,2.41,1.2,2.11,0.3,248.63,41.97,52.57,57.14,56.25,72.0,155.0,73.0,Southpaw,1991-12-05,74.0,155.0,73.0,Orthodox,1994-02-11,1046.81,1107.82
Red,Submission ,2020-05-30,Mackenzie Dern,Hannah Cifers,3.24,4.08,0.46,0.93,0.93,167.22,32.81,64.61,8.33,0.0,4.82,5.55,0.32,1.61,0.32,102.37,45.16,53.6,100.0,64.29,64.0,115.0,63.0,Orthodox,1993-03-24,61.0,115.0,62.0,Orthodox,1992-06-26,1028.55,970.9
Blue,Decision - Unanimous ,2020-05-30,Antonina Shevchenko,Katlyn Chookagian,4.02,1.98,0.83,2.48,1.24,189.08,53.48,67.71,100.0,45.45,4.11,4.49,0.0,1.6,0.11,9.73,32.89,63.05,0.0,50.0,68.0,125.0,67.0,Southpaw,1984-11-20,69.0,125.0,68.0,Orthodox,1988-12-28,1037.9,1147.89
Red,Decision - Unanimous ,2020-05-30,Daniel Rodriguez,Gabe Green,5.69,4.76,0.0,1.74,1.74,6.96,40.5,56.84,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,73.0,170.0,74.0,Southpaw,1986-12-31,70.0,170.0,73.0,Switch,1993-05-02,1076.24,1000.0
NC/NC,Overturned ,2020-05-30,Jamahal Hill,Klidson Abreu,6.73,2.07,0.0,6.0,0.0,2.0,43.35,56.94,0.0,33.33,2.02,2.71,0.67,0.33,0.0,62.0,39.74,56.74,20.0,80.0,76.0,205.0,79.0,Southpaw,1991-05-19,72.0,205.0,74.0,Orthodox,1992-12-24,1044.72,957.75
Blue,Submission ,2020-05-30,Tim Elliott,Brandon Royval,3.49,2.57,4.14,1.66,1.24,244.12,46.33,60.55,57.97,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,67.0,125.0,66.0,Southpaw,1986-12-24,69.0,125.0,68.0,Southpaw,1992-08-16,944.69,1000.0
Blue,Submission ,2020-05-30,Louis Smolka,Casey Kenney,4.45,3.66,1.74,4.4,2.2,302.47,46.27,53.16,34.88,30.91,2.67,2.6,1.33,7.33,0.33,235.33,50.21,57.45,80.0,42.11,69.0,135.0,68.0,Orthodox,1991-07-16,67.0,135.0,68.0,Southpaw,1991-03-20,1015.27,1073.53
Red,KO/TKO ,2020-05-30,Chris Gutierrez,Vince Morales,3.65,2.3,0.38,1.53,0.0,70.41,55.21,64.0,33.33,66.67,4.38,3.58,0.0,1.0,0.0,11.33,36.35,58.29,0.0,57.14,69.0,145.0,67.0,Orthodox,1991-04-22,67.0,135.0,70.0,Orthodox,1990-11-12,1081.56,962.76
Blue,KO/TKO ,2020-05-16,Walt Harris,Alistair Overeem,2.96,2.68,0.35,0.7,0.18,52.61,38.16,61.58,33.33,76.47,3.65,2.75,0.6,0.7,0.3,229.6,73.35,54.13,25.0,63.16,77.0,250.0,77.0,Southpaw,1983-06-10,76.0,265.0,80.0,Orthodox,1980-05-17,1162.92,1232.84
Red,Decision - Split ,2020-05-16,Claudia Gadelha,Angela Hill,3.17,4.38,3.34,0.71,0.81,267.07,42.19,58.24,47.14,58.82,5.74,5.13,0.5,1.18,0.17,98.12,49.44,64.56,37.5,72.0,64.0,115.0,63.0,Orthodox,1988-12-07,63.0,115.0,64.0,Orthodox,1985-01-12,1130.03,1104.08
Blue,Decision - Split ,2020-05-16,Edson Barboza,Dan Ige,4.01,4.16,0.49,0.92,0.06,50.05,43.24,60.38,44.44,80.77,3.86,2.93,1.93,0.97,0.24,205.98,50.31,62.08,28.57,69.23,71.0,145.0,75.0,Orthodox,1986-01-21,67.0,145.0,71.0,Orthodox,1991-08-06,1167.5,1239.15
Red,Decision - Unanimous ,2020-05-16,Krzysztof Jotko,Eryk Anders,2.84,1.81,1.39,0.8,0.1,240.36,44.21,58.26,40.0,85.96,3.06,4.15,1.51,0.63,0.13,156.18,45.39,52.18,40.0,76.19,73.0,185.0,77.0,Southpaw,1989-08-19,73.0,185.0,75.0,Southpaw,1987-04-21,1141.23,1094.65
Blue,Decision - Unanimous ,2020-05-16,Marlon Vera,Song Yadong,3.43,3.82,0.76,1.31,1.41,107.14,47.06,53.32,38.89,68.42,3.54,2.74,0.97,1.62,0.65,194.96,38.5,62.97,100.0,66.67,68.0,135.0,70.0,Switch,1992-12-02,68.0,135.0,67.0,Orthodox,1997-12-02,1234.87,1235.06
Red,KO/TKO ,2020-05-16,Miguel Baeza,Matt Brown,4.65,1.06,1.99,0.0,0.0,0.0,57.38,80.95,100.0,100.0,3.75,2.58,1.64,2.62,1.57,188.58,54.26,56.07,47.17,63.64,74.0,170.0,74.0,Orthodox,1992-08-23,72.0,170.0,75.0,Orthodox,1981-01-10,1041.67,1209.14
Blue,KO/TKO ,2020-05-16,Anthony Hernandez,Kevin Holland,4.82,6.15,5.71,0.95,0.95,294.93,52.41,46.11,66.67,85.71,3.85,2.82,1.55,2.88,1.33,223.06,59.32,55.16,53.85,48.0,72.0,185.0,75.0,Orthodox,1993-10-18,75.0,185.0,81.0,Orthodox,1992-11-05,1002.15,1066.69
Blue,Decision - Unanimous ,2020-05-16,Irwin Rivera,Giga Chikadze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.23,2.93,0.5,2.5,0.0,45.5,40.25,61.06,50.0,61.54,66.0,135.0,67.0,Southpaw,1989-02-14,72.0,145.0,74.0,Orthodox,1988-08-25,1000.0,1101.66
Blue,Decision - Unanimous ,2020-05-16,Darren Elkins,Nate Landwehr,3.27,2.8,2.52,1.14,1.26,334.03,36.84,53.29,35.9,58.7,1.47,2.58,0.0,5.52,0.0,182.21,44.44,58.82,0.0,0.0,70.0,145.0,71.0,Orthodox,1984-05-16,69.0,145.0,72.0,Orthodox,1988-06-06,1137.74,942.0
Blue,Submission ,2020-05-16,Mara Romero Borella,Cortney Casey,2.61,2.6,1.51,0.5,0.25,177.74,36.79,71.61,42.86,66.67,4.8,4.73,0.35,2.24,0.47,55.79,38.6,53.37,30.0,38.71,66.0,125.0,69.0,Orthodox,1986-06-03,67.0,125.0,67.0,Orthodox,1987-05-05,936.24,963.67
Blue,Submission ,2020-05-16,Don'Tale Mayes,Rodrigo Nascimento,2.53,3.41,1.09,1.55,0.0,171.32,40.0,45.89,58.33,33.33,3.56,4.04,1.44,0.57,0.57,224.86,49.34,40.06,41.67,71.43,78.0,260.0,81.0,Orthodox,1992-01-16,74.0,246.0,80.0,Orthodox,1992-11-26,951.59,1000.0
Blue,KO/TKO ,2020-05-13,Anthony Smith,Glover Teixeira,3.13,4.49,0.45,1.93,0.57,61.83,49.46,43.91,26.67,51.43,3.21,3.89,1.89,2.23,0.94,222.19,45.45,54.45,37.93,60.0,76.0,205.0,76.0,Orthodox,1988-07-26,74.0,205.0,76.0,Orthodox,1979-10-28,1341.5,1330.42
Blue,Decision - Split ,2020-05-13,Ovince Saint Preux,Ben Rothwell,2.24,2.99,1.02,1.68,0.44,121.35,42.87,43.58,31.82,67.14,3.56,5.31,0.79,1.13,0.45,162.39,44.01,42.79,30.43,56.52,75.0,205.0,80.0,Southpaw,1983-04-08,76.0,265.0,78.0,Orthodox,1981-10-17,1151.46,1101.62
Red,KO/TKO ,2020-05-13,Drew Dober,Alexander Hernandez,4.51,4.16,0.95,1.5,0.14,204.22,40.15,53.73,17.95,62.07,3.07,3.25,1.52,1.14,0.0,180.38,41.72,50.19,30.77,57.14,68.0,155.0,70.0,Southpaw,1988-10-19,69.0,155.0,72.0,Orthodox,1992-10-01,1197.57,1221.97
Red,Decision - Split ,2020-05-13,Ricky Simon,Ray Borg,2.9,4.13,4.69,2.22,0.25,229.81,38.68,64.5,39.58,73.53,1.36,1.68,4.26,1.61,1.14,444.42,52.3,46.81,51.14,50.0,66.0,135.0,69.0,Orthodox,1992-08-31,64.0,135.0,63.0,Orthodox,1993-08-04,1077.18,1180.53
Blue,Decision - Unanimous ,2020-05-13,Philipe Lins,Andrei Arlovski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.31,2.51,0.46,0.66,0.25,80.73,43.81,58.98,36.0,80.6,74.0,240.0,78.0,Orthodox,1985-08-17,75.0,240.0,77.0,Orthodox,1979-02-04,1000.0,996.02
Blue,Submission ,2020-05-13,Michael Johnson,Thiago Moises,4.22,3.92,0.52,0.99,0.06,54.67,37.87,58.66,45.0,78.48,2.44,3.42,1.33,2.0,1.67,165.0,47.41,58.49,36.36,68.42,70.0,155.0,73.0,Southpaw,1986-06-04,69.0,155.0,70.0,Orthodox,1995-03-23,1055.37,967.5
Blue,Decision - Unanimous ,2020-05-13,Sarah Moras,Sijara Eubanks,2.04,3.17,0.91,1.81,1.09,217.06,41.12,44.73,23.81,37.5,4.77,3.42,2.0,1.0,0.0,235.25,39.67,58.75,44.44,63.64,67.0,135.0,67.0,Orthodox,1988-04-30,64.0,125.0,67.0,Orthodox,1985-04-27,961.54,963.94
Red,Decision - Unanimous ,2020-05-13,Omar Morales,Gabriel Benitez,2.13,1.0,1.0,0.0,0.0,365.0,35.96,73.21,100.0,100.0,4.32,2.93,0.21,3.86,1.5,42.9,41.48,71.37,100.0,56.1,71.0,145.0,73.0,Orthodox,1985-10-17,68.0,155.0,71.0,Southpaw,1988-06-15,1051.42,1090.16
Blue,KO/TKO ,2020-05-13,Hunter Azure,Brian Kelleher,2.73,1.4,0.0,3.0,0.0,29.0,34.75,65.0,0.0,75.0,4.87,5.83,1.47,0.59,0.88,226.4,45.93,54.02,29.41,84.62,68.0,145.0,69.0,Orthodox,1992-03-02,66.0,135.0,66.0,Switch,1986-08-19,1062.61,1086.55
Blue,KO/TKO ,2020-05-13,Ike Villanueva,Chase Sherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,5.81,5.76,0.0,0.39,0.0,51.61,43.9,51.48,0.0,77.78,73.0,205.0,73.0,Orthodox,1984-04-04,76.0,250.0,78.0,Orthodox,1989-11-16,1000.0,870.42
Red,KO/TKO ,2020-05-09,Justin Gaethje,Tony Ferguson,10.73,12.09,0.0,0.79,0.0,50.48,55.59,54.5,0.0,80.0,5.81,3.75,0.56,1.02,1.4,41.53,45.33,63.75,42.86,75.0,71.0,155.0,70.0,Orthodox,1988-11-14,71.0,155.0,76.0,Orthodox,1984-02-12,1300.16,1569.0
Blue,KO/TKO ,2020-05-09,Dominick Cruz,Henry Cejudo,3.67,2.59,2.74,0.6,0.12,138.08,37.13,70.87,38.98,82.76,3.3,2.36,1.87,0.09,0.19,193.47,44.73,65.76,35.09,90.91,68.0,135.0,68.0,Orthodox,1985-03-09,64.0,135.0,64.0,Orthodox,1987-02-09,1278.76,1482.82
Blue,KO/TKO ,2020-05-09,Jairzinho Rozenstruik,Francis Ngannou,3.72,3.05,0.0,1.91,0.0,11.44,46.99,32.39,0.0,75.0,3.01,2.76,0.0,3.13,0.63,53.27,37.7,48.44,0.0,71.43,74.0,242.0,78.0,Orthodox,1988-03-17,76.0,250.0,83.0,Orthodox,1986-09-05,1236.01,1443.51
Blue,KO/TKO ,2020-05-09,Jeremy Stephens,Calvin Kattar,2.98,2.87,1.14,1.44,0.38,161.96,40.41,58.24,38.46,65.45,5.12,6.36,0.47,0.47,0.0,13.4,41.08,57.17,33.33,77.78,69.0,145.0,71.0,Orthodox,1986-05-25,71.0,145.0,72.0,Orthodox,1988-03-26,1145.42,1155.69
Blue,Decision - Unanimous ,2020-05-09,Yorgan De Castro,Greg Hardy,1.85,2.77,0.0,0.0,0.0,83.08,33.33,33.33,0.0,100.0,4.42,3.16,0.0,0.37,0.0,43.74,48.12,55.71,0.0,83.33,72.0,250.0,74.0,Orthodox,1986-12-19,77.0,265.0,80.0,Orthodox,1988-07-28,1058.0,984.4
Red,Decision - Unanimous ,2020-05-09,Anthony Pettis,Donald Cerrone,3.06,3.88,0.56,2.94,0.77,94.1,46.99,52.13,44.44,52.81,4.68,4.73,1.01,0.32,0.5,94.93,47.3,51.82,32.35,89.23,70.0,155.0,72.0,Orthodox,1987-01-27,73.0,170.0,73.0,Orthodox,1983-03-29,1207.6,1239.19
Red,Decision - Split ,2020-05-09,Aleksei Oleinik,Fabricio Werdum,3.08,3.25,3.01,2.01,2.76,365.27,50.41,49.61,46.15,20.0,5.02,3.15,1.08,0.99,0.36,167.9,55.87,56.12,25.53,26.67,74.0,240.0,80.0,Orthodox,1977-06-20,76.0,231.0,77.0,Orthodox,1977-07-30,1141.93,1288.03
Blue,Decision - Split ,2020-05-09,Michelle Waterson,Carla Esparza,3.64,4.4,1.79,0.97,1.1,219.14,52.94,46.48,44.83,53.33,2.22,2.86,3.53,1.92,0.32,266.39,40.89,53.53,36.26,48.57,63.0,115.0,62.0,Orthodox,1986-01-06,61.0,115.0,63.0,Orthodox,1987-10-10,1137.15,1145.86
Red,TKO - Doctor's Stoppage ,2020-05-09,Vicente Luque,Niko Price,4.12,4.24,0.65,1.2,0.76,107.7,53.69,51.5,50.0,64.52,2.84,4.13,1.0,1.24,1.24,139.59,34.69,51.46,23.53,61.54,71.0,170.0,75.0,Orthodox,1991-11-27,72.0,170.0,76.0,Orthodox,1989-09-29,1269.87,1177.05
Blue,Decision - Unanimous ,2020-05-09,Charles Rosa,Bryce Mitchell,3.79,4.22,2.82,1.81,1.21,206.67,36.48,50.08,34.15,47.06,1.78,1.81,1.75,3.5,1.75,247.28,50.83,59.48,28.57,33.33,69.0,145.0,69.0,Switch,1986-08-24,70.0,145.0,70.0,Southpaw,1994-10-04,1049.2,1152.31
Red,Decision - Split ,2020-05-09,Ryan Spann,Sam Alvey,3.15,2.2,0.62,3.73,1.86,261.05,42.94,55.83,33.33,57.14,3.05,3.2,0.09,0.71,0.09,55.03,44.62,55.59,16.67,82.98,77.0,205.0,79.0,Orthodox,1991-08-24,74.0,185.0,75.0,Southpaw,1986-05-06,1178.63,985.77
Red,Submission ,2020-03-14,Charles Oliveira,Kevin Lee,3.14,2.96,2.71,1.45,2.71,211.16,50.68,54.45,42.86,58.97,3.9,3.18,3.22,0.79,0.87,375.2,42.53,52.58,42.71,74.36,70.0,155.0,74.0,Orthodox,1989-10-17,69.0,170.0,77.0,Orthodox,1992-09-04,1375.02,1323.4
Blue,KO/TKO ,2020-03-14,Demian Maia,Gilbert Burns,1.82,2.01,2.49,0.57,1.03,343.5,43.64,63.92,25.9,61.54,3.09,3.05,2.43,0.85,0.74,243.39,43.67,57.06,38.98,50.0,73.0,170.0,72.0,Southpaw,1977-11-06,70.0,170.0,71.0,Orthodox,1986-07-20,1386.96,1327.54
Blue,Submission ,2020-03-14,Damir Hadzovic,Renato Moicano,3.0,3.0,0.68,4.32,0.23,77.39,46.81,66.33,60.0,40.62,5.53,3.69,1.16,0.58,0.39,52.88,46.67,66.55,54.55,76.92,69.0,155.0,70.0,Orthodox,1986-08-08,71.0,155.0,72.0,Orthodox,1989-05-21,1047.76,1154.84
Red,Decision - Unanimous ,2020-03-14,Nikita Krylov,Johnny Walker,4.48,2.26,0.97,3.12,1.75,256.03,57.6,44.05,38.46,52.94,4.47,5.49,0.0,3.05,0.0,94.58,73.33,50.0,0.0,50.0,75.0,205.0,77.0,Orthodox,1992-03-07,78.0,205.0,82.0,Orthodox,1992-03-30,1133.4,1147.35
Red,Decision - Unanimous ,2020-03-14,Francisco Trinaldo,John Makdessi,3.09,2.47,1.08,1.65,0.51,177.78,44.0,60.82,45.95,61.76,5.43,3.77,0.0,0.41,0.0,17.73,50.9,70.85,0.0,87.8,69.0,170.0,70.0,Southpaw,1978-08-24,68.0,155.0,68.0,Orthodox,1985-05-03,1254.27,1179.54
Blue,Decision - Unanimous ,2020-03-14,Jussier Formiga,Brandon Moreno,1.38,2.23,1.95,0.37,0.56,269.84,38.89,65.12,39.62,86.21,2.84,2.95,1.84,1.27,0.57,191.94,34.24,63.73,43.33,62.5,65.0,125.0,67.0,Orthodox,1985-04-14,67.0,125.0,70.0,Orthodox,1993-12-07,1269.13,1099.79
Blue,Decision - Unanimous ,2020-03-14,Randa Markos,Amanda Ribas,3.01,3.11,1.38,1.21,0.26,243.41,41.34,61.63,27.59,57.58,4.3,1.22,2.71,0.0,1.36,256.56,38.46,84.12,57.14,100.0,64.0,115.0,63.0,Orthodox,1985-08-10,63.0,125.0,66.0,Orthodox,1993-08-26,1015.7,1132.02
Blue,Decision - Unanimous ,2020-03-14,Aleksei Kunchenko,Elizeu Zaleski dos Santos,3.62,2.4,0.33,1.0,0.0,35.33,42.45,65.61,33.33,86.36,4.18,3.03,0.45,2.54,0.6,100.46,39.96,61.13,14.29,48.48,68.0,170.0,70.0,Orthodox,1984-05-02,71.0,170.0,73.0,Orthodox,1986-12-11,1108.13,1227.52
D/D,Decision - Majority ,2020-03-14,Rani Yahya,Enrique Barzola,1.75,1.45,2.79,1.56,1.72,320.33,36.12,53.26,33.33,24.0,3.93,3.13,4.56,0.56,0.22,252.0,39.97,69.42,45.56,68.75,66.0,135.0,67.0,Orthodox,1984-09-12,67.0,145.0,70.0,Orthodox,1989-04-28,1133.93,1069.11
Blue,Decision - Unanimous ,2020-03-14,Mayra Bueno Silva,Maryna Moroz,2.24,2.24,0.0,3.05,3.05,42.71,34.38,38.89,0.0,66.67,2.83,3.37,0.29,1.43,0.43,103.29,25.63,55.47,14.29,47.37,66.0,125.0,66.0,Orthodox,1991-08-22,67.0,125.0,67.0,Orthodox,1991-09-08,1075.23,1025.27
Blue,Decision - Unanimous ,2020-03-14,Bruno Silva,David Dvorak,1.54,2.92,2.31,0.0,0.0,483.46,40.0,56.82,18.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,64.0,125.0,65.0,Orthodox,1990-03-16,65.0,125.0,68.0,Orthodox,1992-06-05,987.6,1067.05
Blue,Decision - Unanimous ,2020-03-14,Bruno Silva,David Dvorak,1.54,2.92,2.31,0.0,0.0,483.46,40.0,56.82,18.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,72.0,185.0,74.0,Orthodox,1989-07-13,65.0,125.0,68.0,Orthodox,1992-06-05,1054.65,1000.0
Blue,Decision - Unanimous ,2020-03-14,Veronica Macedo,Bea Malecki,1.9,3.61,0.8,3.21,0.8,130.87,45.51,38.36,100.0,46.67,2.72,6.01,0.0,6.44,4.3,148.21,26.76,60.38,0.0,40.0,64.0,125.0,64.0,Southpaw,1995-10-30,69.0,135.0,74.0,Orthodox,1991-08-23,929.76,1058.0
Red,Decision - Unanimous ,2020-03-07,Israel Adesanya,Yoel Romero,4.06,2.37,0.0,0.94,0.4,21.83,50.56,66.71,0.0,85.71,3.77,3.29,1.89,0.63,0.0,132.45,49.64,60.43,35.0,80.56,76.0,185.0,80.0,Switch,1989-07-22,72.0,185.0,73.0,Southpaw,1977-04-30,1480.23,1318.76
Blue,Decision - Split ,2020-03-07,Joanna Jedrzejczyk,Zhang Weili,6.73,3.3,0.3,1.42,0.06,74.3,48.08,64.16,62.5,81.54,6.88,5.19,2.2,0.44,0.44,169.48,45.8,52.61,31.25,60.0,66.0,115.0,65.0,Orthodox,1987-08-18,64.0,115.0,63.0,Switch,1989-08-13,1244.3,1246.61
Blue,KO/TKO ,2020-03-07,Drakkar Klose,Beneil Dariush,3.98,3.74,1.67,1.17,0.0,216.33,52.8,54.21,30.3,68.18,3.95,2.66,1.77,0.52,0.94,333.97,49.01,60.19,34.0,80.0,69.0,155.0,70.0,Orthodox,1988-03-09,70.0,155.0,72.0,Southpaw,1989-05-06,1221.5,1260.42
Red,Decision - Unanimous ,2020-03-07,Neil Magny,Li Jingliang,3.86,2.22,2.62,1.85,0.32,195.74,46.13,56.72,46.59,60.27,4.9,3.55,1.24,1.24,0.0,73.12,43.24,61.18,36.67,63.33,75.0,170.0,80.0,Orthodox,1987-08-03,72.0,170.0,71.0,Orthodox,1988-03-20,1280.54,1248.47
Red,Decision - Split ,2020-03-07,Alex Oliveira,Max Griffin,2.83,2.19,2.78,1.34,0.67,344.36,50.57,46.65,39.19,61.11,4.22,4.11,1.89,1.16,0.58,151.02,49.6,56.42,54.17,63.64,71.0,170.0,76.0,Orthodox,1988-02-21,71.0,170.0,76.0,Orthodox,1985-11-29,1056.42,983.45
Blue,KO/TKO ,2020-03-07,Jose Quinonez,Sean O'Malley,3.49,2.43,2.64,0.88,0.7,238.01,47.15,68.2,45.45,50.0,6.8,3.77,1.5,2.0,1.5,41.0,56.2,67.53,50.0,55.56,68.0,135.0,69.0,Southpaw,1990-07-28,71.0,135.0,72.0,Switch,1994-10-24,1147.01,1094.67
Blue,Decision - Unanimous ,2020-03-07,Austin Hubbard,Mark Madsen,3.17,3.57,1.5,1.5,0.0,196.0,41.67,54.66,60.0,62.5,18.33,0.0,12.5,0.0,0.0,637.5,75.86,100.0,50.0,100.0,70.0,155.0,71.0,Orthodox,1991-12-22,68.0,155.0,72.0,Orthodox,1984-09-23,1022.76,1047.11
Red,Submission ,2020-03-07,Rodolfo Vieira,Saparbeg Safarov,1.91,2.33,4.77,0.0,1.59,524.73,46.15,48.84,42.86,100.0,4.29,3.1,2.8,0.0,0.0,411.94,48.12,47.47,41.67,100.0,72.0,185.0,73.0,Orthodox,1989-09-25,73.0,185.0,78.0,Orthodox,1986-10-14,1064.71,979.18
Red,Submission ,2020-03-07,Gerald Meerschaert,Deron Winn,2.73,3.25,2.56,1.38,1.77,236.75,42.11,52.49,41.94,46.15,6.6,5.5,3.0,0.5,0.0,280.0,47.14,51.9,33.33,0.0,73.0,185.0,77.0,Southpaw,1987-12-18,66.0,185.0,70.0,Orthodox,1989-06-13,1024.81,980.05
Blue,Decision - Split ,2020-03-07,Jamall Emmers,Giga Chikadze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.93,2.27,1.0,3.0,0.0,71.0,49.58,65.66,50.0,57.14,70.0,145.0,74.0,Orthodox,1989-07-24,72.0,145.0,74.0,Orthodox,1988-08-25,1000.0,1052.33
Blue,KO/TKO ,2020-03-07,Guido Cannetti,Danaa Batgerel,2.8,1.95,2.8,1.87,0.31,288.89,52.33,51.3,50.0,75.0,85.0,36.0,0.0,3.0,0.0,6.0,36.96,59.55,0.0,57.14,66.0,135.0,68.0,Southpaw,1979-12-19,67.0,135.0,70.0,Orthodox,1989-07-04,985.8,942.0
Red,KO/TKO ,2020-02-29,Deiveson Figueiredo,Joseph Benavidez,2.44,2.4,1.78,2.57,2.37,224.7,52.71,53.33,47.37,59.38,3.88,2.83,1.69,1.48,0.28,172.2,35.89,59.87,31.58,72.73,65.0,125.0,68.0,Orthodox,1987-12-18,64.0,125.0,65.0,Southpaw,1984-07-31,1268.38,1412.61
Blue,KO/TKO ,2020-02-29,Zarah Fairn,Felicia Spencer,0.51,2.53,0.0,3.8,0.0,87.34,40.0,44.44,0.0,50.0,3.26,6.79,0.82,0.0,0.82,310.6,51.72,43.69,10.0,100.0,68.0,135.0,72.0,Orthodox,1983-12-10,66.0,145.0,68.0,Orthodox,1990-11-29,936.02,1024.45
Red,KO/TKO ,2020-02-29,Magomed Ankalaev,Ion Cutelaba,3.32,1.15,0.69,0.69,0.0,373.48,56.42,68.75,33.33,85.71,5.27,3.16,2.62,1.05,0.0,117.96,39.48,49.01,71.43,80.0,75.0,205.0,75.0,Orthodox,1992-06-02,73.0,205.0,75.0,Southpaw,1993-12-14,1113.23,1121.53
Blue,KO/TKO ,2020-02-29,Norma Dumont,Megan Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1.8,3.17,0.64,3.21,0.64,131.6,46.15,34.51,50.0,50.0,67.0,145.0,67.0,Orthodox,1990-10-01,72.0,145.0,72.0,Orthodox,1990-02-11,1000.0,1028.05
Red,Submission ,2020-02-29,Grant Dawson,Darrick Minner,3.74,3.07,6.01,0.0,1.34,574.61,45.65,45.24,42.86,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,70.0,155.0,72.0,Switch,1994-02-20,67.0,145.0,69.0,Orthodox,1990-04-28,1116.85,1000.0
Red,Decision - Unanimous ,2020-02-29,Kyler Phillips,Gabriel Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.53,1.0,1.0,6.0,0.0,266.0,50.0,34.78,16.67,33.33,68.0,135.0,72.0,Orthodox,1995-06-12,66.0,135.0,71.0,Orthodox,1994-08-26,1000.0,955.54
Red,KO/TKO ,2020-02-29,Brendan Allen,Tom Breese,1.16,2.55,3.47,1.74,6.95,300.58,45.45,42.11,66.67,0.0,3.85,2.57,0.0,1.04,0.35,159.62,49.85,65.09,0.0,72.73,74.0,185.0,75.0,Orthodox,1995-12-28,75.0,185.0,73.0,Southpaw,1991-09-26,1081.31,1156.1
Red,Decision - Unanimous ,2020-02-29,Marcin Tybura,Serghei Spivac,3.83,3.57,1.52,0.51,0.14,280.21,48.86,55.31,33.33,79.41,4.17,4.46,5.36,0.6,0.6,393.76,49.45,49.7,64.29,70.0,75.0,249.0,78.0,Orthodox,1985-11-09,75.0,260.0,78.0,Orthodox,1995-01-24,1020.94,1026.08
Blue,Decision - Unanimous ,2020-02-29,Steve Garcia,Luis Pena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.7,2.74,1.25,3.01,1.0,299.41,45.29,52.6,31.25,47.83,72.0,155.0,75.0,Southpaw,1992-05-22,75.0,155.0,75.0,Southpaw,1993-07-05,1000.0,1057.89
