OUTCOME,METHOD,DATE,red_Name,blue_Name,red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,red_Stance,red_DOB,blue_Height,blue_Weight,blue_Reach,blue_Stance,blue_DOB,red_Elo,blue_Elo
Blue,KO/TKO ,2025-05-10,Charles Radtke,Mike Malott,3.38,3.03,0.59,0.0,0.0,361.18,53.09,56.25,12.5,100.0,3.65,2.6,2.4,0.69,0.69,188.09,53.51,52.89,70.0,33.33,,,,Nan,,73.0,170.0,73.0,Orthodox,1991-11-07,1080.25,1154.01
Blue,Submission ,2025-05-10,Jessica Andrade,Jasmine Jasudavicius,6.44,5.51,2.23,1.17,0.34,215.37,50.12,54.53,54.79,72.37,3.6,3.6,2.39,0.46,0.57,436.4,46.15,51.43,42.86,75.0,61.0,125.0,62.0,Orthodox,1991-09-25,67.0,125.0,68.0,Orthodox,1989-03-01,1213.19,1228.6
Blue,Decision - Split ,2025-05-10,Ion Cutelaba,Modestas Bukauskas,4.3,3.38,4.17,1.07,0.11,199.89,43.29,46.98,52.0,75.0,3.32,4.11,0.37,0.74,0.19,87.44,42.1,50.22,66.67,71.43,73.0,205.0,75.0,Southpaw,1993-12-14,75.0,205.0,78.0,Switch,1994-02-10,1088.22,1091.08
Blue,Decision - Unanimous ,2025-05-10,Ivan Erslan,Navajo Stirling,2.6,3.0,1.0,3.0,0.0,319.0,56.52,62.5,50.0,75.0,5.2,2.13,0.0,3.0,0.0,54.0,50.32,64.44,0.0,66.67,,205.0,,Nan,1991-11-15,,205.0,,Nan,1997-11-07,934.19,1048.41
Red,KO/TKO ,2025-05-10,Marc-Andre Barriault,Bruno Silva,5.98,5.58,0.21,2.18,0.1,83.2,47.71,52.08,25.0,67.19,3.66,4.48,1.13,1.7,0.09,120.87,46.78,48.74,22.22,70.97,73.0,185.0,74.0,Orthodox,1990-02-18,64.0,125.0,65.0,Orthodox,1990-03-16,992.09,896.71
Blue,KO/TKO ,2025-05-10,Bruno Silva,Marc-Andre Barriault,3.66,4.48,1.13,1.7,0.09,120.87,46.78,48.74,22.22,70.97,5.98,5.58,0.21,2.18,0.1,83.2,47.71,52.08,25.0,67.19,72.0,185.0,74.0,Orthodox,1989-07-13,73.0,185.0,74.0,Orthodox,1990-02-18,959.86,928.94
Blue,Decision - Unanimous ,2025-05-10,JeongYeong Lee,Daniel Santos,2.51,2.73,0.97,2.41,0.0,155.87,52.35,51.43,66.67,79.17,4.26,5.12,1.9,1.52,0.0,283.15,37.0,50.73,50.0,73.33,,145.0,,Nan,1995-11-13,67.0,135.0,,Nan,1995-03-12,1033.38,1087.46
Red,KO/TKO ,2025-05-10,Bekzat Almakhan,Brad Katona,0.2,4.53,0.0,5.0,0.0,34.0,18.75,30.61,0.0,0.0,4.84,4.72,1.88,1.25,0.0,258.75,52.58,50.48,34.09,61.54,,135.0,,Nan,1997-09-08,66.0,135.0,64.0,Orthodox,1991-12-19,976.34,953.38
Blue,KO/TKO ,2025-05-03,Deiveson Figueiredo,Cory Sandhagen,3.01,3.66,1.68,1.61,1.48,162.34,54.37,49.66,34.72,60.0,5.02,3.46,1.19,1.42,0.3,188.96,44.47,56.82,32.0,63.46,65.0,125.0,68.0,Orthodox,1987-12-18,71.0,135.0,70.0,Switch,1992-04-20,1364.9,1366.24
Red,KO/TKO ,2025-05-03,Reinier de Ridder,Bo Nickal,3.28,2.69,6.89,0.0,1.97,407.21,57.47,38.81,46.67,100.0,2.58,1.99,2.21,0.0,2.21,329.63,62.5,64.47,36.36,100.0,,205.0,,Nan,1990-09-07,73.0,185.0,,Nan,1996-01-14,1151.01,1196.84
